source_pr_number	source_pr_state	source_pr_title	source_pr_url	source_pr_author_login	source_pr_author_name	source_base_ref	source_head_ref	source_head_sha	source_merged_at	source_closed_at	import_kind	target_pr_number	target_pr_url	target_pr_is_draft	target_branch	target_base_branch	target_commit_sha
122	MERGED	Add harbor-smoke to CI and static guards for MatrAIx tasks	https://github.com/MatrAIx-ai/MatrAIx/pull/122	JianhengHou	NA	main	feat/ci-harbor-smoke	3b92f17cd65b0da4e311cb699fbe0b89a740a808	2026-06-26T09:55:43Z	2026-06-26T09:55:43Z	merged_pr_snapshot	119	https://github.com/ElegantLin/PersonaBench/pull/119	true	codex/matraix-pr-merged-snapshot-122-3b92f17cd6	codex/matraix-main-061-e50592a4cb	1fe4742bffa9274f0c59905f498b3aea5567728a
123	MERGED	Check in example job outputs for viewer demos	https://github.com/MatrAIx-ai/MatrAIx/pull/123	JianhengHou	NA	main	feat/check-in-example-jobs	98a57b9bb5cda47983c20dc56c89a784de1d6e48	2026-06-26T11:30:11Z	2026-06-26T11:30:11Z	merged_pr_snapshot	120	https://github.com/ElegantLin/PersonaBench/pull/120	true	codex/matraix-pr-merged-snapshot-123-98a57b9bb5	codex/matraix-main-061-e50592a4cb	40f79e963eaf38cb38d55db413cd649f1952982f
124	MERGED	Recognize persona bench task design as effort	https://github.com/MatrAIx-ai/MatrAIx/pull/124	JianhengHou	NA	main	docs/contributing-persona-grounding-effort	7b0b7a34b59eacacec7710857de8863c915955f6	2026-06-26T18:02:39Z	2026-06-26T18:02:40Z	merged_pr_snapshot	121	https://github.com/ElegantLin/PersonaBench/pull/121	true	codex/matraix-pr-merged-snapshot-124-7b0b7a34b5	codex/matraix-main-061-e50592a4cb	b4013b119cd799484270faaaf28f5ddc22596fe5
125	OPEN	Add Amazon top 10K reviewer inference queue	https://github.com/MatrAIx-ai/MatrAIx/pull/125	rosierogao	NA	main	amazon-top10k-reviewers	4f324f03cda4cf20e4785b0d8602452dc9811689	NA	NA	open_pr_snapshot	64	https://github.com/ElegantLin/PersonaBench/pull/64	true	codex/matraix-pr-snapshot-125-4f324f03cd	codex/matraix-main-061-e50592a4cb	986f414e398ce7e2fd748cd912c1abf427136205
126	OPEN	OASIS multi-agent Docker: live dashboard post feed + /posts endpoint + vLLM pool port fix	https://github.com/MatrAIx-ai/MatrAIx/pull/126	ahmd-mohsin	Muhammad Ahmed Mohsin	environment/oasis	environment/oasis	9b35bfbde9d5304f425e79fb823f7a7b2fea4e71	NA	NA	open_pr_snapshot	63	https://github.com/ElegantLin/PersonaBench/pull/63	true	codex/matraix-pr-snapshot-126-9b35bfbde9	codex/matraix-main-061-e50592a4cb	a5d2c943c36a3e3a7e9b14410b17b07101f59bad
127	OPEN	matrAIx UI/UX redesign of the PersonaEval frontend	https://github.com/MatrAIx-ai/MatrAIx/pull/127	QianfengWen	Qianfeng Wen	app/chatbot-general	ui/matraix-redesign	39cae6c80bb7492eb2902e8b3c07f27bd96c19f0	NA	NA	open_pr_snapshot	62	https://github.com/ElegantLin/PersonaBench/pull/62	true	codex/matraix-pr-snapshot-127-39cae6c80b	codex/matraix-main-061-e50592a4cb	fa910c633468e34b6abcae2b3b8e3650efe673c9
128	OPEN	[codex] Add persona annotation package tool	https://github.com/MatrAIx-ai/MatrAIx/pull/128	ElegantLin	Zonglin DI	main	codex/port-annotation-package	b691230375d673a046dfae3470a3347fa08b7c8a	NA	NA	open_pr_diff	61	https://github.com/ElegantLin/PersonaBench/pull/61	true	codex/matraix-pr-128-b691230375	codex/matraix-main-061-e50592a4cb	f414f2c129ebaf1981d369586fe42e346a213fe1
129	CLOSED	Ignore VS Code workspace settings	https://github.com/MatrAIx-ai/MatrAIx/pull/129	dipeshbabu	Dipesh Babu	main	ignore-vscode-workspace-settings	74ca6818e282781e27c03494fdc9a8dd149e2521	NA	2026-06-27T04:02:00Z	closed_unmerged_pr_snapshot	82	https://github.com/ElegantLin/PersonaBench/pull/82	true	codex/matraix-pr-closed-snapshot-129-74ca6818e2	codex/matraix-main-061-e50592a4cb	f33c966e9cbc7dcf7198145a727fb5879652e2e4
130	MERGED	Fix Ruff CI checkout for private fork PRs	https://github.com/MatrAIx-ai/MatrAIx/pull/130	JianhengHou	NA	main	fix/ruff-fork-checkout	308d222648890d9d7e62b0176d86b077d4efcdf2	2026-06-27T03:49:20Z	2026-06-27T03:49:20Z	merged_pr_snapshot	122	https://github.com/ElegantLin/PersonaBench/pull/122	true	codex/matraix-pr-merged-snapshot-130-308d222648	codex/matraix-main-061-e50592a4cb	0abf5d67dbb19208ca2932a8fb3ec3c6446ef8e1
131	MERGED	Ignore VS Code workspace settings (#129)	https://github.com/MatrAIx-ai/MatrAIx/pull/131	JianhengHou	NA	main	chore/merge-pr-129-vscode	d3c0da2bb6c7b05d640a070ffb71d32bf7e4f811	2026-06-27T04:01:56Z	2026-06-27T04:01:56Z	merged_pr_snapshot	123	https://github.com/ElegantLin/PersonaBench/pull/123	true	codex/matraix-pr-merged-snapshot-131-d3c0da2bb6	codex/matraix-main-061-e50592a4cb	874a4e562a1b7ba9ba2bcc599e48cb902eb04814
135	MERGED	Use GitHub org teams in CODEOWNERS	https://github.com/MatrAIx-ai/MatrAIx/pull/135	JianhengHou	NA	main	chore/codeowners-teams	23c8afa533ad908d43f4bfdf9dcab17976f1b828	2026-06-27T05:53:24Z	2026-06-27T05:53:24Z	merged_pr_snapshot	124	https://github.com/ElegantLin/PersonaBench/pull/124	true	codex/matraix-pr-merged-snapshot-135-23c8afa533	codex/matraix-main-061-e50592a4cb	3f1b46d83b66330583d8c256bfc280f4c0ce0f72
