threshold,tick,n_boundaries,agent
80,30,1,Seraveth
80,35,1,Seraveth
80,0,2,Skarn
80,5,2,Skarn
80,10,2,Skarn
80,15,2,Skarn
80,20,2,Skarn
80,25,2,Skarn
80,30,2,Skarn
80,35,2,Skarn
80,0,1,Tamsin
80,5,1,Tamsin
80,10,1,Tamsin
80,15,1,Tamsin
80,20,1,Tamsin
80,25,1,Tamsin
80,30,1,Tamsin
80,35,1,Tamsin
80,0,1,Thren
80,5,1,Thren
80,10,1,Thren
80,15,1,Thren
80,20,1,Thren
80,25,1,Thren
80,30,1,Thren
80,35,1,Thren
80,0,1,Vell
80,5,1,Vell
80,10,1,Vell
80,15,1,Vell
80,20,1,Vell
80,25,1,Vell
80,30,1,Vell
80,35,1,Vell
80,0,2,Veyra
80,5,2,Veyra
80,10,2,Veyra
80,15,2,Veyra
80,20,2,Veyra
80,0,1,Vos
80,5,1,Vos
80,10,1,Vos
150,0,2,Ash
150,5,2,Ash
150,10,2,Ash
150,0,1,Bex
150,5,1,Bex
150,10,1,Bex
150,0,1,Corrvan
150,5,1,Corrvan
150,10,1,Corrvan
150,15,1,Corrvan
150,20,1,Corrvan
150,25,1,Corrvan
150,0,1,Dross
150,5,1,Dross
150,10,1,Dross
150,15,1,Dross
150,20,1,Dross
150,25,1,Dross
150,30,1,Dross
150,35,1,Dross
150,0,1,Drusa
150,5,1,Drusa
150,0,1,Garrick
150,5,1,Garrick
150,10,1,Garrick
150,15,1,Garrick
150,20,1,Garrick
150,25,1,Garrick
150,30,1,Garrick
150,35,1,Garrick
150,0,1,Hale
150,5,1,Hale
150,10,1,Hale
150,0,1,Imra
150,5,1,Imra
150,10,1,Imra
150,15,1,Imra
150,20,1,Imra
150,25,1,Imra
150,30,1,Imra
150,35,1,Imra
150,0,2,Kael
150,5,2,Kael
150,10,2,Kael
150,15,2,Kael
150,20,2,Kael
150,25,2,Kael
150,30,2,Kael
150,35,2,Kael
150,0,1,Korv
150,5,1,Korv
150,10,1,Korv
150,15,1,Korv
150,20,1,Korv
150,25,1,Korv
150,30,1,Korv
150,35,1,Korv
150,0,2,Lithen
150,5,2,Lithen
150,10,2,Lithen
150,15,2,Lithen
150,20,2,Lithen
150,25,2,Lithen
150,0,1,Malaric
150,5,1,Malaric
150,10,1,Malaric
150,15,1,Malaric
150,20,1,Malaric
150,25,1,Malaric
150,30,1,Malaric
150,0,0,Mire
150,5,0,Mire
150,10,0,Mire
150,15,0,Mire
150,20,0,Mire
150,25,0,Mire
150,30,0,Mire
150,35,0,Mire
150,0,1,Nyssa
150,0,1,Quill
150,5,1,Quill
150,10,1,Quill
150,0,2,Roon
150,5,2,Roon
150,10,2,Roon
150,15,2,Roon
150,0,2,Sela
150,5,2,Sela
150,10,2,Sela
150,15,2,Sela
150,20,2,Sela
150,25,2,Sela
150,30,2,Sela
150,35,2,Sela
150,0,2,Senne
150,5,2,Senne
150,10,2,Senne
150,15,2,Senne
150,20,2,Senne
150,25,2,Senne
150,30,2,Senne
150,35,2,Senne
150,0,1,Seraveth
150,5,1,Seraveth
150,10,1,Seraveth
150,15,1,Seraveth
150,20,1,Seraveth
150,25,1,Seraveth
150,30,1,Seraveth
150,35,1,Seraveth
150,0,2,Skarn
150,5,2,Skarn
150,0,1,Tamsin
150,5,1,Tamsin
150,10,1,Tamsin
150,15,1,Tamsin
150,20,1,Tamsin
150,25,1,Tamsin
150,30,1,Tamsin
150,35,1,Tamsin
150,0,1,Thren
150,5,1,Thren
150,10,1,Thren
150,15,1,Thren
150,20,1,Thren
150,25,1,Thren
150,30,1,Thren
150,35,1,Thren
150,0,1,Vell
150,5,1,Vell
150,10,1,Vell
150,0,2,Veyra
150,5,2,Veyra
150,10,2,Veyra
150,15,2,Veyra
150,20,2,Veyra
150,0,1,Vos
150,5,1,Vos
150,10,1,Vos
150,15,1,Vos
150,20,1,Vos
150,25,1,Vos
150,30,1,Vos
150,35,1,Vos
