product_id,display_name,available_rows,target_rows,coverage_pct,rows_scanned,scan_mode,statistics_exact,schema_dimensions,mean_populated,median_populated,p05_populated,p95_populated,mean_emitted,evidence_coverage,description_coverage,unknown_field_occurrences,duplicate_field_ids,off_schema_values
synthetic,Full-DAG synthetic,10000000000,10000000000,100.0,0,declared,True,1290,1290.0,1290.0,1290.0,1290.0,1290.0,,,0,0,0
wiki,Wiki-grounded,1997743,2125897,93.97176815245517,5000,sample,False,1290,435.2262,434.0,183.0,704.0,1281.5848,0.8971822008877223,0.9107654824089175,152,643,112240
amazon,Amazon Review,100000,100000,100.0,100000,full,True,1290,24.83756,19.0,3.0,64.0,1290.0,1.0,0.9996650234564104,0,0,1134
stackoverflow,Stack Overflow survey,113335,113335,100.0,113335,full,True,1290,77.21943794944193,73.0,48.0,118.0,1290.0,1.0,0.0,0,0,677
prism,PRISM Alignment,1500,1500,100.0,1500,full,True,1290,178.05533333333332,174.0,120.0,244.0,1290.0,0.99996630261005,0.9997978156603003,0,0,0
gss,General Social Survey,75699,75699,100.0,75699,full,True,1290,14.575397297190188,15.0,12.0,17.0,1290.0,0.0,0.0,0,0,0
