domain,users,mean_pairwise_cosine_distance,median_pairwise_cosine_distance,projection_spread_mean_radius,projection_spread_p90_radius
Movie / film,50,0.821770887285745,0.8426088310800623,0.05737821117585359,0.11248677794930702
Beauty,50,0.827611564992353,0.8743423559970431,0.09215139020830003,0.1630212464322899
Game,50,0.777664294060536,0.8321515796584777,0.09280416003706189,0.18444698769379161
Finance,50,0.7475209396091598,0.7660694105744084,0.06725208881056705,0.11015208102018495
Medical / healthcare,50,0.7571227062348895,0.7794902459571236,0.07286991767804633,0.13592144082968943
