domain,users,mean_pairwise_cosine_distance,median_pairwise_cosine_distance,projection_spread_mean_radius,projection_spread_p90_radius,most_distinct_examples,central_examples
Movie / film,50,0.8301519549329548,0.8503746970065605,0.1561364507673811,0.2554590923943971,Nemotron_FB773423.yaml; Nemotron_DCE8F389.yaml; Nemotron_ED5FAE08.yaml,Nemotron_F6D7E39D.yaml; Nemotron_E23BC63A.yaml; Nemotron_F4E81C14.yaml
Beauty,50,0.832364670619135,0.8679163043077568,0.16253677297806748,0.4441702953079239,Nemotron_F174C00B.yaml; Nemotron_E1B623BE.yaml; Nemotron_B6BD82BB.yaml,Nemotron_D12C57D1.yaml; Nemotron_19BA7B29.yaml; Nemotron_FB9E8197.yaml
Game,50,0.8209164797355241,0.8587282188482193,0.18631027380143508,0.3663845231456475,Nemotron_BC95D407.yaml; Nemotron_F28427DA.yaml; Nemotron_30B017A3.yaml,Nemotron_EC4738D0.yaml; Nemotron_1BD8BE19.yaml; Nemotron_2A412E54.yaml
Finance,50,0.8169343595322415,0.8391831027624511,0.15032785557145995,0.3024973944766538,Nemotron_6D97E519.yaml; Nemotron_2A2DC2F3.yaml; Nemotron_B456CEFB.yaml,Nemotron_557E8861.yaml; Nemotron_A95C2BC0.yaml; Nemotron_02C6ED08.yaml
Medical / healthcare,50,0.8154283823076417,0.8441569209874057,0.14700209461264677,0.27362623099641875,Nemotron_EB99965E.yaml; Nemotron_78EFE608.yaml; Nemotron_0D2E1D6E.yaml,Nemotron_CD08DBB4.yaml; Nemotron_19DA1B80.yaml; Nemotron_24A37D16.yaml
